Property name,Report Section,Data type,Data count,Care level
Wenatchee,Statistics,WTD Tours,3,Cottage
Bellingham,Statistics,WTD Tours,3,Cottage
Billings,Statistics,WTD Tours,8,Cottage
Prescott,Statistics,WTD Tours,5,Cottage
Great Falls,Statistics,WTD Tours,2,Cottage
Bozeman,Statistics,WTD Tours,4,Cottage
Temecula,Statistics,WTD Tours,6,Cottage
Vancouver,Statistics,WTD Tours,4,Cottage
Yakima,Statistics,WTD Tours,2,Cottage
Bozeman,Statistics,WTD Deposits,1,Cottage
Prescott,Statistics,WTD Deposits,1,Cottage
Temecula,Statistics,WTD Deposits,1,Cottage
